order_id,order_date,order_priority,order_quantity,sales ,unit_price,ship_mode,shipping_cost,province,customer_segment,product_category,product_sub_category,product_container,ship_date
38369,01/11/2017,Not Specified,3,240.48,80.16,Regular Air,73.8,Ontario,Consumer,Furniture,Tables,Large Box,01/12/2017
19494,01/11/2017,High,2,9.49,4.75,Regular Air,3.7,Ontario,Small Business,Office Supplies,Pens & Art Supplies,Small Pack,1/14/2017
292,01/11/2019,High,43,441.50,10.27,Regular Air,1.5,Saskachewan,Consumer,Office Supplies,Envelopes,Small Box,01/12/2019
5382,01/11/2019,Low,30,278.33,9.28,Regular Air,4.5,Quebec,Consumer,Furniture,Office Furnishings,Small Pack,1/18/2019
21382,01/11/2019,Critical,27,156.15,5.78,Regular Air,8,Ontario,Corporate,Office Supplies,Paper,Small Box,1/14/2019
21382,01/11/2019,Critical,21,6886.38,327.92,Delivery Truck,69.3,Saskachewan,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,1/13/2019
51269,01/11/2019,Critical,20,460.54,23.03,Regular Air,8.1,Alberta,Small Business,Furniture,Office Furnishings,Small Box,01/12/2019
28485,01/11/2019,High,12,52.62,4.39,Regular Air,1,Yukon,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,01/11/2019
21382,01/11/2019,Critical,11,333.87,30.35,Regular Air,5.9,Saskachewan,Corporate,Technology,Computer Peripherals,Small Box,1/13/2019
7783,01/11/2019,Medium,3,33.54,11.18,Regular Air,6,Manitoba,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,01/12/2019
51269,01/11/2019,High,2,22.54,11.27,Regular Air,3.2,Alberta,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,01/12/2019
43362,01/12/2016,Critical,45,17080.51,379.57,Delivery Truck,32.1,Quebec,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,1/15/2016
7461,01/12/2016,Low,44,96.67,2.20,Regular Air,0.7,British Columbia,Home Office,Office Supplies,Rubber Bands,Wrap Bag,1/16/2016
20549,01/12/2016,Not Specified,40,1102.20,27.56,Regular Air,21.4,Saskachewan,Corporate,Office Supplies,Storage & Organization,Small Box,1/13/2016
43362,01/12/2016,Critical,33,62.57,1.90,Regular Air,1.1,Quebec,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,1/14/2016
7461,01/12/2016,Low,28,279.05,9.97,Regular Air,1.5,British Columbia,Home Office,Office Supplies,Envelopes,Small Box,1/16/2016
37862,01/12/2016,Not Specified,27,1715.50,63.54,Regular Air,4.3,Ontario,Corporate,Office Supplies,Appliances,Small Box,1/15/2016
7461,01/12/2016,Low,12,4365.92,363.83,Delivery Truck,41.7,British Columbia,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,1/14/2016
27813,01/12/2016,Medium,10,429.22,42.92,Regular Air,7,Saskachewan,Consumer,Technology,Computer Peripherals,Small Box,1/14/2016
12580,01/12/2017,Low,50,8600.75,172.02,Regular Air,21.4,Yukon,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,1/14/2017
12580,01/12/2017,Low,43,150.57,3.50,Regular Air,4.2,Quebec,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,1/14/2017
59552,01/12/2017,Not Specified,39,336.26,8.62,Regular Air,6.7,Ontario,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,1/13/2017
17825,01/12/2017,Not Specified,26,1050.63,40.41,Regular Air,13.8,Ontario,Home Office,Office Supplies,Storage & Organization,Small Box,1/15/2017
18370,01/12/2018,Low,41,1360.02,33.17,Regular Air,5.4,Saskachewan,Consumer,Technology,Telephones and Communication,Small Box,1/16/2018
55815,01/12/2018,High,28,3060.40,109.30,Express Air,10.8,Newfoundland,Corporate,Furniture,Office Furnishings,Large Box,1/13/2018
29409,01/12/2018,High,23,41.72,1.81,Regular Air,2.1,British Columbia,Home Office,Technology,Computer Peripherals,Small Pack,1/14/2018
52068,01/12/2019,Not Specified,47,26279.10,559.13,Delivery Truck,17.8,Saskachewan,Corporate,Technology,Office Machines,Jumbo Box,01/12/2019
6501,01/12/2019,High,46,4940.55,107.40,Regular Air,8.2,Saskachewan,Corporate,Technology,Telephones and Communication,Small Box,1/14/2019
6501,01/12/2019,High,35,253.58,7.25,Regular Air,7.2,Saskachewan,Corporate,Office Supplies,Paper,Small Box,1/14/2019
52068,01/12/2019,Not Specified,31,174.70,5.64,Regular Air,3.2,Saskachewan,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,01/12/2019
22914,01/12/2019,Critical,30,360.22,12.01,Regular Air,7.4,Yukon,Corporate,Office Supplies,Appliances,Medium Box,1/13/2019
52068,01/12/2019,Not Specified,21,1302.73,62.03,Delivery Truck,39.2,Saskachewan,Corporate,Furniture,Bookcases,Jumbo Box,1/13/2019
52068,01/12/2019,Not Specified,17,472.44,27.79,Delivery Truck,15.4,Saskachewan,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,1/14/2019
25541,1/13/2016,Low,50,318.60,6.37,Regular Air,6.2,Manitoba,Consumer,Office Supplies,Paper,Small Box,1/15/2016
51623,1/13/2016,Critical,17,41.98,2.47,Regular Air,5.7,Quebec,Home Office,Furniture,Office Furnishings,Small Box,1/13/2016
13602,1/13/2016,Low,13,707.26,54.40,Regular Air,5.4,Yukon,Corporate,Office Supplies,Paper,Small Box,1/13/2016
13602,1/13/2016,Low,3,476.51,158.84,Delivery Truck,19.1,Yukon,Corporate,Technology,Office Machines,Jumbo Drum,1/18/2016
58599,1/13/2017,Critical,49,5705.69,116.44,Delivery Truck,32.1,Nova Scotia,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,1/14/2017
37125,1/13/2017,High,46,77.23,1.68,Regular Air,0.7,British Columbia,Consumer,Office Supplies,Rubber Bands,Wrap Bag,1/14/2017
20961,1/13/2017,Not Specified,34,7070.47,207.96,Regular Air,26.2,British Columbia,Corporate,Technology,Copiers and Fax,Large Box,1/15/2017
23586,1/13/2017,Medium,32,225.66,7.05,Regular Air,6.1,Saskachewan,Small Business,Office Supplies,Paper,Small Box,1/16/2017
28289,1/13/2017,High,31,178.43,5.76,Regular Air,5.1,Northwest Territories,Corporate,Office Supplies,Paper,Small Box,1/14/2017
58599,1/13/2017,Critical,19,2491.62,131.14,Delivery Truck,32.1,Quebec,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,1/14/2017
37250,1/13/2017,High,13,506.60,38.97,Regular Air,7.1,British Columbia,Corporate,Office Supplies,Envelopes,Small Box,1/14/2017
19524,1/13/2017,Critical,9,98.46,10.94,Regular Air,5,Yukon,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,1/14/2017
2213,1/13/2017,Not Specified,6,43.13,7.19,Regular Air,8.7,Ontario,Small Business,Office Supplies,Paper,Small Box,1/14/2017
21379,1/13/2018,High,35,5808.48,165.96,Delivery Truck,64.4,Nova Scotia,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,1/15/2018
36357,1/13/2019,Not Specified,38,18838.17,495.74,Delivery Truck,52.4,Alberta,Small Business,Technology,Copiers and Fax,Jumbo Drum,1/14/2019
43911,1/14/2016,Medium,36,10615.31,294.87,Delivery Truck,19.1,Alberta,Corporate,Technology,Office Machines,Jumbo Drum,1/15/2016
43911,1/14/2016,Medium,29,618.34,21.32,Regular Air,12,Alberta,Corporate,Furniture,Office Furnishings,Large Box,1/14/2016
34691,1/14/2016,Critical,27,232.92,8.63,Regular Air,9.9,Ontario,Small Business,Office Supplies,Appliances,Small Box,1/16/2016
8325,1/14/2016,Critical,27,120.45,4.46,Regular Air,1,Yukon,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,1/17/2016
43911,1/14/2016,Medium,23,8008.21,348.18,Delivery Truck,63.1,Alberta,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,1/16/2016
34691,1/14/2016,Critical,23,7707.15,335.09,Delivery Truck,28.4,Ontario,Small Business,Technology,Office Machines,Jumbo Drum,1/14/2016
8325,1/14/2016,Critical,21,2529.79,120.47,Delivery Truck,60.1,Yukon,Home Office,Technology,Office Machines,Jumbo Drum,1/16/2016
30567,1/14/2016,Not Specified,14,2879.20,205.66,Delivery Truck,72.8,Saskachewan,Small Business,Office Supplies,Appliances,Jumbo Drum,1/14/2016
30567,1/14/2016,Not Specified,14,66.98,4.78,Regular Air,1,Saskachewan,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,1/15/2016
34691,1/14/2016,Critical,13,263.03,20.23,Express Air,10.2,Ontario,Small Business,Office Supplies,Paper,Small Box,1/16/2016
30567,1/14/2016,Not Specified,8,784.90,98.11,Regular Air,21.4,Saskachewan,Small Business,Office Supplies,Envelopes,Small Box,1/15/2016
30567,1/14/2016,Not Specified,3,41.42,13.81,Express Air,7.8,Saskachewan,Small Business,Furniture,Office Furnishings,Small Pack,1/16/2016
15079,1/14/2017,Medium,45,4016.16,89.25,Regular Air,7.7,Ontario,Small Business,Technology,Computer Peripherals,Small Box,1/17/2017
2852,1/14/2017,Critical,42,4206.51,100.16,Regular Air,4.5,Saskachewan,Home Office,Technology,Telephones and Communication,Small Box,1/15/2017
21574,1/14/2017,Critical,33,82.98,2.51,Regular Air,2.1,Nova Scotia,Small Business,Technology,Computer Peripherals,Small Pack,1/15/2017
15079,1/14/2017,Medium,23,1209.95,52.61,Regular Air,6.4,Ontario,Small Business,Office Supplies,Paper,Small Box,1/15/2017
2852,1/14/2017,Critical,10,80.11,8.01,Regular Air,8.8,Saskachewan,Home Office,Office Supplies,Paper,Small Box,1/14/2017
46147,1/14/2018,Critical,39,302.25,7.75,Express Air,6.5,Manitoba,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1/16/2018
46147,1/14/2018,Critical,37,990.61,26.77,Regular Air,13.9,Manitoba,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1/16/2018
49189,1/14/2018,Critical,32,267.06,8.35,Regular Air,1.5,Ontario,Home Office,Office Supplies,Envelopes,Small Box,1/17/2018
46147,1/14/2018,Critical,12,6957.63,579.80,Delivery Truck,69.1,Manitoba,Corporate,Furniture,Tables,Jumbo Box,1/16/2018
16807,1/14/2019,Medium,48,1696.59,35.35,Regular Air,5.3,Yukon,Small Business,Office Supplies,Paper,Small Box,1/15/2019
13027,1/14/2019,Critical,42,311.03,7.41,Regular Air,6.6,Quebec,Small Business,Office Supplies,Paper,Small Box,1/16/2019
16807,1/14/2019,Medium,30,230.96,7.70,Regular Air,1.8,Yukon,Small Business,Office Supplies,Paper,Wrap Bag,1/16/2019
37729,1/15/2016,Not Specified,48,479.24,9.98,Regular Air,6.6,British Columbia,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1/15/2016
6884,1/15/2016,Low,47,316.86,6.74,Regular Air,1.1,Nunavut,Home Office,Office Supplies,Paper,Wrap Bag,1/20/2016
6884,1/15/2016,Low,41,232.19,5.66,Regular Air,5.1,Nunavut,Home Office,Office Supplies,Paper,Small Box,1/20/2016
12676,1/15/2016,High,25,215.13,8.61,Express Air,8.5,Saskachewan,Home Office,Furniture,Office Furnishings,Small Box,1/16/2016
22243,1/15/2016,Critical,9,26.49,2.94,Regular Air,0.7,Saskachewan,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,1/16/2016
48773,1/15/2016,Medium,7,54.86,7.84,Regular Air,2.3,Ontario,Small Business,Office Supplies,Paper,Wrap Bag,1/17/2016
4545,1/15/2017,Not Specified,33,135.23,4.10,Regular Air,1.4,Ontario,Small Business,Office Supplies,Paper,Wrap Bag,1/17/2017
26182,1/15/2017,Not Specified,30,5012.84,167.09,Delivery Truck,70.9,Northwest Territories,Corporate,Furniture,Bookcases,Jumbo Box,1/18/2017
8642,1/15/2017,High,26,161.62,6.22,Regular Air,6,Saskachewan,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1/16/2017
8642,1/15/2017,High,13,142.35,10.95,Regular Air,1.1,Saskachewan,Corporate,Office Supplies,Labels,Small Box,1/16/2017
36161,1/15/2017,Critical,6,31.23,5.21,Regular Air,1.6,Quebec,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,1/16/2017
4545,1/15/2017,Not Specified,4,35.42,8.86,Regular Air,9.4,Ontario,Small Business,Office Supplies,Paper,Small Box,1/16/2017
26182,1/15/2017,Not Specified,4,824.71,206.18,Delivery Truck,25.4,Ontario,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,1/15/2017
19365,1/15/2018,Medium,29,194.56,6.71,Regular Air,5.6,Prince Edward Island,Small Business,Office Supplies,Paper,Small Box,1/16/2018
25669,1/15/2018,Critical,12,48.82,4.07,Regular Air,0.5,Nova Scotia,Small Business,Office Supplies,Labels,Small Box,1/15/2018
29573,1/15/2019,Critical,43,847.66,19.71,Regular Air,10.2,Ontario,Home Office,Office Supplies,Paper,Small Box,1/17/2019
29090,1/15/2019,Medium,36,406.96,11.30,Regular Air,7.4,Yukon,Consumer,Office Supplies,Storage & Organization,Small Box,1/15/2019
9632,1/15/2019,Low,33,3887.34,117.80,Regular Air,9.7,Alberta,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,1/19/2019
3685,1/15/2019,Medium,29,114.25,3.94,Regular Air,5.4,British Columbia,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,1/16/2019
29090,1/15/2019,Medium,24,106.04,4.42,Regular Air,1.1,Yukon,Consumer,Office Supplies,Labels,Small Box,1/16/2019
23268,1/15/2019,High,14,54.41,3.89,Express Air,2.4,Quebec,Home Office,Office Supplies,Paper,Wrap Bag,1/17/2019
23268,1/15/2019,High,5,273.18,54.64,Regular Air,6.2,Nova Scotia,Home Office,Office Supplies,Paper,Small Box,1/17/2019
31781,1/16/2016,Medium,46,266.45,5.79,Regular Air,9.1,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1/17/2016
31781,1/16/2016,Medium,41,83.98,2.05,Regular Air,0.8,Northwest Territories,Corporate,Office Supplies,Rubber Bands,Wrap Bag,1/17/2016
22147,1/16/2016,Low,37,890.39,24.06,Regular Air,9.6,Saskachewan,Corporate,Furniture,Office Furnishings,Small Pack,1/20/2016
39173,1/16/2016,Critical,36,81.83,2.27,Regular Air,0.8,Quebec,Small Business,Office Supplies,Rubber Bands,Wrap Bag,1/18/2016
49541,1/16/2016,Medium,35,539.01,15.40,Regular Air,5.9,Manitoba,Home Office,Office Supplies,Storage & Organization,Small Box,1/17/2016
2370,1/16/2016,Critical,30,275.44,9.18,Regular Air,3.1,Quebec,Consumer,Office Supplies,Paper,Wrap Bag,1/18/2016
30915,1/16/2016,Low,25,3034.57,121.38,Regular Air,9.6,Ontario,Corporate,Technology,Telephones and Communication,Small Box,1/21/2016
30915,1/16/2016,Low,20,67.17,3.36,Express Air,2.2,Ontario,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,1/16/2016
2370,1/16/2016,Critical,6,727.17,121.20,Regular Air,15,Quebec,Consumer,Furniture,Office Furnishings,Medium Box,1/18/2016
39173,1/16/2016,Critical,2,399.40,199.70,Delivery Truck,31.3,Quebec,Small Business,Furniture,Tables,Jumbo Box,1/18/2016
55139,1/16/2017,Not Specified,41,616.94,15.05,Regular Air,8.1,British Columbia,Small Business,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,1/17/2017
18853,1/16/2017,Critical,33,239.55,7.26,Regular Air,1.6,Manitoba,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,1/18/2017
55139,1/16/2017,Not Specified,26,91.71,3.53,Regular Air,1,Nova Scotia,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,1/17/2017
46980,1/16/2018,Critical,34,231.44,6.81,Regular Air,0.5,Northwest Territories,Corporate,Office Supplies,Labels,Small Box,1/16/2018
11111,1/16/2018,Medium,29,188.86,6.51,Regular Air,7.9,Ontario,Corporate,Office Supplies,Paper,Small Box,1/18/2018
11111,1/16/2018,Medium,7,330.12,47.16,Regular Air,36.6,Ontario,Corporate,Furniture,Office Furnishings,Wrap Bag,1/18/2018
35780,1/16/2018,Medium,6,30.55,5.09,Regular Air,1.7,British Columbia,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,1/18/2018
12771,1/17/2016,Critical,46,83.55,1.82,Regular Air,1.7,Northwest Territories,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,1/19/2016
12771,1/17/2016,Critical,40,1223.53,30.59,Regular Air,21.4,Northwest Territories,Small Business,Office Supplies,Labels,Small Box,1/17/2016
32868,1/17/2016,Not Specified,39,1178.37,30.21,Regular Air,6.6,Saskachewan,Home Office,Office Supplies,Pens & Art Supplies,Small Pack,1/18/2016
18945,1/17/2016,Medium,33,565.54,17.14,Regular Air,2.1,New Brunswick,Corporate,Technology,Computer Peripherals,Small Pack,1/19/2016
10272,1/17/2016,Medium,26,606.04,23.31,Regular Air,8.8,Manitoba,Corporate,Office Supplies,Paper,Small Box,1/17/2016
46884,1/17/2016,Medium,25,300.06,12.00,Regular Air,2.5,Ontario,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,1/18/2016
1921,1/17/2016,Medium,24,8422.94,350.96,Delivery Truck,97.4,Ontario,Small Business,Office Supplies,Appliances,Jumbo Drum,1/19/2016
46884,1/17/2016,Medium,18,139.22,7.73,Regular Air,1.5,Saskachewan,Corporate,Office Supplies,Envelopes,Small Box,1/19/2016
43620,1/17/2016,Medium,13,209.96,16.15,Regular Air,14.3,Saskachewan,Home Office,Office Supplies,Appliances,Small Box,1/20/2016
43620,1/17/2016,Medium,11,53.24,4.84,Express Air,2.4,Saskachewan,Home Office,Office Supplies,Paper,Wrap Bag,1/19/2016
10272,1/17/2016,Medium,3,320.02,106.67,Regular Air,21.4,Manitoba,Corporate,Office Supplies,Envelopes,Small Box,1/19/2016
46884,1/17/2016,Medium,3,360.95,120.32,Regular Air,2.7,Saskachewan,Corporate,Technology,Telephones and Communication,Small Box,1/19/2016
39267,1/17/2017,High,46,1306.97,28.41,Regular Air,15,Saskachewan,Home Office,Office Supplies,Storage & Organization,Medium Box,1/18/2017
35139,1/17/2017,High,32,417.28,13.04,Regular Air,5.1,British Columbia,Home Office,Office Supplies,Storage & Organization,Small Box,1/19/2017
